 A B C D E
235 54872 74960 70893 74367 2507
236 22782 72458 4199 4035 89570
237 58912 98120 80436 47802 70665
238 48901 51576 83856 3856 77968
239 25630 98936 86117 86624 68617
240 31929 2138 8917 51991 44231
241 94077 90169 78099 67980 34434
242 71658 84662 86760 37131 60117
243 14409 20513 58653 36393 34072
244 73932 22263 40843 91720 9739
245 7675 66212 51993 49671 66800
246 7606 40619 97872 36901 33838
247 95101 79628 15859 4897 25542
248 21489 75810 61908 64370 89934
249 16226 87078 85112 86423 59829
250 89765 74769 59080 23995 88463
251 50253 24756 99419 11164 1988
252 28762 13443 99563 1472 8046
253 22683 50764 90594 94080 56976
254 15368 70965 45954 6812 68724
255 58013 69386 40426 50151 23046
256 61514 25350 43567 5094 49301
257 37766 62631 8234 18715 13857
258 48008 68305 32779 74888 26506
259 83812 86111 88521 14788 53148
260 14554 35652 89818 99194 70182
261 50485 27709 59009 95088 17459
262 42199 43325 16660 16873 23086
263 20315 26589 56419 25123 72438
264 10837 94360 78795 35207 31689
265 88642 51964 78581 18612 56628
266 82056 64517 34733 43958 60989
267 72403 57437 99838 71862 75657
268 50055 14780 32860 35560 58890
269 63269 87781 64826 17620 91593
270 52335 79022 15399 69709 35626
271 71059 96508 60251 47463 59946
272 65420 59615 71018 42054 1033
273 61420 67738 8958 73464 92525
274 25727 66341 78317 22424 46988
275 75211 98932 4894 5738 44045
276 25267 31543 40760 51092 86549
277 3842 44097 9219 82791 37704
278 93774 46988 78034 97566 79686
279 83306 98840 3179 68651 19488
280 50656 72939 97002 17682 52490
281 57565 15602 1828 49724 70225
282 76866 4546 83190 39420 59017
283 81306 437 12513 85272 65017
284 96509 93825 48441 37003 8843
285 59394 6044 93038 41521 32793
286 42679 19861 79465 74111 43483
287 43102 28331 57379 48140 92099
288 12991 32410 46101 3586 87204
289 13115 8057 78786 89980 15157
290 51536 24723 28736 43774 62139
291 30225 62763 32366 80859 56948
292 19600 12237 56899 78567 3537
293 12347 8741 64402 83457 38369
294 22178 7084 58515 97889 67211
295 53522 60192 41271 49007 86143
296 86042 525 18611 34090 43227
297 71793 34332 72277 27482 75285
298 6518 49245 42115 55814 54700
299 96394 40144 1230 89224 19544
300 15525 38471 2417 90724 76387
301 34030 94941 13023 72486 18411
302 83380 83671 19696 30832 59495
303 95541 43039 97320 76277 95546
304 7650 70035 29064 86313 11930
305 20800 44457 54772 97102 26341
306 78347 51088 82347 11563 18510
307 5880 72398 48911 51352 56399
308 24839 10169 23352 72829 99373
309 37858 3135 17390 98512 65119
310 76955 60878 98701 73436 48647
311 4675 35281 93374 66990 86433
312 63755 87311 97148 10535 52067
313 29846 83484 40910 18027 1018
314 23308 14976 1431 19703 85083
315 80380 77990 86606 54045 71095
316 59205 2414 52345 99846 9706
317 68598 479 36055 98000 88560
318 73190 60633 2040 43826 51270
319 84114 88609 8961 59443 24127
320 28672 83850 69352 34360 66066
321 8349 22279 69976 72708 36682
322 9364 39750 92590 26775 79800
323 48091 44761 96122 52336 22819
324 38911 93130 29609 61160 94654
325 43461 64152 91251 88910 86214
326 325 53125 26542 51495 74707
327 94697 54405 61399 22108 75030
328 24043 35714 81588 62112 2490
329 18926 32893 54010 78671 34429
330 71701 73749 61399 99652 49805
331 73689 34495 40627 81827 418
332 18861 11403 48478 72634 85135
333 86383 35774 8413 66522 56292
334 99021 15571 88344 89444 41173
335 1442 59335 18205 78669 32261
336 32462 67502 4385 62921 39085
337 36799 15462 67386 6064 31865
338 58689 13430 64031 27641 94101
339 77293 69626 1793 33696 49912
340 62950 76496 10280 12150 74704
341 29594 67132 54991 81411 25259
342 16084 7167 41821 83850 60675
343 52505 37560 93216 45420 91898
344 17260 41499 9274 21411 13741
345 48339 70321 40819 47073 92223
346 55306 74160 32657 26921 89742
347 11267 863 70104 65088 43299
348 83483 51350 92335 61441 67275
349 44512 74936 91189 65891 48166
350 34512 44929 20604 14307 37300
351 11192 76937 26848 16858 4989
352 76649 79582 95671 83393 93999
353 30862 53103 57993 32701 77033
354 67175 76842 14891 83732 19471
355 12669 94365 4251 63940 54548
356 10833 18407 57825 34870 85571
357 74630 61996 51887 85741 31040
358 77089 31863 96303 5307 43137
359 6427 40232 35700 6465 23274
360 85903 86681 14583 29874 98626
361 26171 35682 78244 35084 82256
362 12544 46539 44478 4366 88941
363 94425 65013 24812 70772 17134
364 45439 96766 75281 59735 54265
365 4472 31213 41169 82085 21477
366 95805 16443 14910 38002 16313
367 33233 54496 73831 63392 9659
368 70481 93409 39627 72240 81919
369 76714 65618 84947 70486 65443
370 19807 55703 49202 46297 53708
371 88253 91435 85589 2366 44709
372 222 92572 81214 3014 68426
373 39400 97674 9110 90925 84328
374 74609 50866 13755 94640 30442
375 57034 93447 68443 37094 8828
376 5947 41004 13026 37252 36061
377 37798 48675 57444 1803 48965
378 56946 13619 26502 15768 5201
379 87722 56925 32373 25868 29815
380 19392 67476 88841 66781 75744
381 99975 81019 53770 90113 39618
382 20943 38353 6589 4016 44876
383 15341 90678 49037 21256 97711
384 91281 12830 99464 23227 88759
385 22451 93842 10857 75071 77481
386 65577 53111 64785 53855 45066
387 93742 22372 59061 86589 62413
388 30905 90713 13702 46819 52695
389 53321 11547 6582 4362 79757
390 11607 82891 5162 82251 60839
391 77212 3236 66520 63098 22508
392 65578 17336 22198 65700 79720
393 29046 83936 55821 63653 74163
394 70939 34683 89441 616 79693
395 35092 90705 30305 98156 20134
396 29986 96257 22023 93692 83343
397 12146 1319 67879 37971 84097
398 70869 1926 556 80474 48129
399 47804 94722 95929 67158 98549
400 45226 30595 9294 6535 67646
401 6489 22037 53750 7146 44483
402 32112 20284 17475 36624 15448
403 84052 62198 88546 92965 42289
404 73647 97288 58422 20434 74213
405 26149 45813 30890 66161 37369
406 60129 23387 4833 79246 85927
407 77223 14707 2607 57599 81834
408 25369 32413 34284 99356 49338
409 62555 89171 14929 41737 98576
410 71890 73386 67462 70609 14191
411 18808 52727 58864 60387 20583
412 23854 29366 37821 68307 61536
413 4294 82545 2650 42709 73912
414 10932 11098 85533 15652 91829
415 31137 99193 87776 27968 59247
416 1629 48589 61802 36597 18756
417 94772 50475 3059 74371 97025
418 25129 73497 89387 36406 42295
419 39081 10696 99786 25832 71195
420 37834 60366 16578 33556 94110
421 76023 53877 17210 15191 98462
422 420 28736 76548 73276 95910
423 52579 50407 73059 45557 49575
424 48739 74116 77974 18372 97894
425 26305 56972 26117 56039 58448
426 57489 34269 29143 10713 35798
427 58272 32215 4733 22365 7570
428 83717 45815 17667 3643 82155
429 54481 6865 19097 82596 14552
430 53715 73827 16086 41808 57015
431 77625 2861 9622 85708 62228
432 43618 38077 16501 72268 61289
433 40075 48498 39842 83348 2177
434 27201 12245 91428 92997 36792
435 7599 88797 12539 70991 85095
436 81054 33145 83332 57284 75423
437 89194 21214 32311 43416 7126
438 12311 72806 73794 59289 12390
439 49225 48462 53842 85830 97291
440 47302 75662 42442 69401 30460
441 86792 87444 62455 78292 44128
442 60614 62544 60310 57158 26644
443 12111 44544 97722 62222 74393
444 90291 58771 40180 82983 69103
445 74881 69654 24552 45699 11630
446 86844 60479 90530 26026 68189
447 82173 58090 28014 65300 18710
448 761 37676 39179 73885 46537
449 87799 38661 36648 54178 50895
450 16478 46023 93488 2479 44034
451 72990 52283 80108 39126 14557
452 60308 69698 91994 21919 4925
453 38370 30055 90002 29158 45739
454 54449 1514 96604 83663 21088
455 2799 62361 16986 81279 95458
456 37808 56145 70482 14694 42322
457 38186 93305 30977 10493 85479
458 56974 84585 33468 1741 10377
459 6161 99989 17265 10325 40758
460 47914 79201 34191 26882 63898
461 65316 39682 14546 74326 46372
462 69389 83441 30591 56726 6772
463 84685 87586 73727 83278 24473
464 15355 52490 20891 19310 52338
465 34457 46912 11579 44504 14928
466 34451 31845 81116 91014 6160
467 23574 7713 45413 73348 9175
468 68800 92694 57747 84678 85296
469 8333 33145 85676 68180 60038
470 38938 24901 1817 1838 43071
471 8215 85252 39302 64295 45154
472 99809 16428 46623 80032 14940
473 85629 91952 31629 4296 78908
474 21740 18584 22002 22437 8819
475 54849 73677 30199 83982 10408
476 46699 50448 47835 77674 91561
477 88002 71867 88733 68006 19473
478 29636 58995 79731 34228 81414
479 43183 61102 89979 96788 43963
480 58318 565 60310 52435 74972
481 42943 83542 55347 47018 51175
482 70339 50718 52006 7646 97864
483 39733 20168 9956 76945 38569
484 22148 2864 85834 91731 95349
485 22877 46109 26940 9414 46617
486 78163 42945 63661 39569 66078
487 7224 88800 52525 3878 48622
488 21617 84700 22888 13125 25544
489 63155 59924 15897 92839 21163
490 66007 42873 97145 29059 23181
491 86334 36091 90995 70173 28909
492 50501 31274 82720 36383 63565
493 62088 60028 7443 57704 57492
494 90663 2366 49804 71751 56837
495 17080 23767 45981 45715 50955
496 1931 89587 44615 59106 83740
497 89103 65748 28169 6391 76709
498 89684 74829 614 25324 76518
499 49528 59922 43931 52898 77521
500 11206 98796 71271 36761 62264
501 56708 96604 92920 16713 71798
502 37437 26061 17963 78084 19443
503 80318 41030 14403 22104 7639
504 16304 75900 503 67463 16804
505 44820 76941 53659 80344 16474
506 99682 16145 14370 67946 5185
507 66148 20113 6344 81914 13823
508 22704 27773 73621 63616 85460
509 97238 63200 5596 64570 20647
510 70541 57753 1151 79610 44662
511 50913 7274 27517 71827 72388
512 66048 81774 59820 49384 14082
513 71079 62107 68819 4035 10507
514 51687 73002 92119 93816 52821
515 72149 28747 32674 21790 49160
516 36363 76427 96936 83323 19594
517 95502 29535 54109 48294 69108
518 92874 50568 85571 25142 75678
519 27559 49790 43997 85671 70386
520 72735 90160 78987 15996 42159
521 56331 31839 45025 86479 72268
522 40762 4368 40854 80807 43463
523 22110 1736 81284 62130 4526
524 7243 30263 67800 38071 78789
525 87532 16632 20666 82756 15272
526 32957 33631 20866 95436 40852
527 26900 61178 79335 91383 57411
528 4618 55674 75604 88657 90761
529 86926 3430 60272 32580 83943
530 88501 51771 57709 59499 25759
531 2935 16999 42184 60089 86442
532 24145 9912 5502 98639 8558
533 88166 72759 46170 18492 12226
534 84573 68629 50697 86875 65525
535 45810 62396 56351 86881 68115
536 82779 61718 26422 46484 17
537 27811 97964 35781 92361 29568
538 79013 7313 60282 56826 37091
539 91737 51504 48542 65223 43980
540 82740 75052 4669 78668 25728
541 41659 29604 24657 37 12200
542 87438 35820 63665 69536 69734
543 63691 93541 60018 92863 91955
544 22905 1473 32000 999 355
545 285 47076 98322 63461 79402
546 89155 15761 19104 31957 49481
547 76473 75626 43850 70276 88952
548 45912 55097 12252 27259 1657
549 9553 61278 80326 58901 29886
550 98277 74072 5312 25271 33678
551 47368 61295 82439 6255 2038
552 65520 44122 77070 49835 48945
553 35497 68522 78270 7443 44706
554 41331 37769 98114 79052 41546
555 80032 21086 52006 39105 18627
556 15655 72789 56538 27249 68588
557 91965 97145 68983 32053 43404
558 84564 49479 67760 85976 51682
559 18222 72162 9263 8947 47656
560 16012 49506 92588 69508 85643
561 62003 84453 83583 5325 34499
562 33042 9480 39843 69451 6299
563 62605 37708 96033 19280 13259
564 12279 46014 35982 99246 18021
565 22324 46675 59114 93431 60363
566 57122 77077 56854 95931 43299
567 69023 11374 64722 53020 73124
568 73394 40304 98819 74999 59555
569 42458 18351 8732 61362 57523
570 36855 77901 50811 66156 5284
571 46070 78845 24584 60156 3870
572 83756 90880 15028 60887 62210
573 76578 31271 90271 37470 59685
574 32943 7284 18700 76191 38336
575 62817 98547 223 88824 1611
576 1780 84604 91732 76434 19773
577 84357 11604 13212 30023 18507
578 69490 65255 6029 48902 37399
579 74243 61909 57066 35952 85672
580 18143 80794 23408 73091 85688
581 92980 92237 32564 77217 19601
582 18361 44291 33835 20586 88631
583 23414 57756 15364 15252 82918
584 15993 50330 81308 45838 59613
585 73154 4235 15633 12587 2664
586 7944 37176 33070 53380 29774
587 26618 26966 97028 31999 78186
588 49095 61741 39565 48445 34113
589 50783 92415 79011 23576 95321
590 7951 36977 86936 22922 2481
591 82989 6965 37871 41570 85247
592 98322 99239 78066 45328 58961
593 71613 9343 5311 75923 91678
594 20397 33497 17901 11702 93416
595 47514 52639 67013 94062 3758
596 46547 85823 46950 34051 86980
597 16303 29541 2568 74650 61168
598 28912 15607 61353 86057 81090
599 58441 70459 13172 44126 98136
600 14866 63260 19880 37740 84962
601 72308 53282 69584 50079 25308
602 28032 54068 24325 18007 17251
603 57118 35188 98162 96404 87912
604 14691 40266 86830 24304 76715
605 92742 89622 29695 78771 10219
606 15500 40659 52274 5287 68254
607 86949 62426 54627 80965 80043
608 46339 76759 94118 39838 2615
609 10728 24125 74018 62764 73395
610 90062 24769 10723 72189 47987
611 44236 4874 65313 35274 85260
612 90024 21112 59055 6169 61902
613 44037 29350 99815 81926 90340
614 7701 15144 97875 95756 37473
615 81839 4903 92672 76749 25148
616 93305 23297 9021 15356 52267
617 37514 36616 66095 33031 78577
618 6256 7121 58156 9488 66541
619 23802 57995 24123 88468 89183
620 40522 46896 25522 79320 59368
621 62637 52096 36910 80131 55329
622 52718 20794 33956 95460 60285
623 16240 42032 98131 93654 4647
624 69190 45523 70152 29041 80728
625 5651 96367 94396 85294 97984
626 11730 26118 10262 50932 85754
627 1629 67159 4185 61560 10498
628 12947 95231 59821 60488 93497
629 28469 74742 78910 36772 44655
630 67910 54814 80235 39595 28134
631 29377 18306 6359 90402 41813
632 1426 61906 53300 397 13599
633 47018 4687 16167 69368 80013
634 1509 28680 25323 2719 26872
635 34866 25945 64375 99795 12343
636 89509 95820 77535 54287 55966
637 13373 90281 28893 14218 15562
638 35651 59275 30015 76031 92053
639 21833 14784 2789 12667 76980
640 97094 21449 44663 42902 64870
641 8303 13117 706 23025 56663
642 32442 38030 67603 20562 3168
643 74170 45670 36507 61659 16140
644 30764 33370 18451 42252 60733
645 66496 9716 76183 63761 57079
646 55795 36493 16391 41806 61964
647 87958 11881 13246 28181 89443
648 66017 40618 24795 12423 26708
649 98164 2930 70724 37982 58844
650 29123 24697 30406 7159 35649
651 74913 55617 57093 3256 81845
652 94158 28735 43511 56009 29296
653 6176 55207 58679 43974 49433
654 68168 6853 54857 99740 67639
655 69523 88375 63088 42141 10250
656 79971 13257 59696 35191 80200
657 46749 55162 16916 59813 17179
658 84815 4386 82860 67515 99155
659 90929 83568 71159 40397 52561
660 76557 52270 44249 56841 58421
661 77524 63882 68677 17252 55957
662 19361 85251 74774 26738 59166
663 86848 22413 8236 58298 90875
664 35393 92421 12083 71114 73189
665 19359 32104 39953 298 65020
666 58105 3646 42713 34444 80922
667 17414 91655 62009 99732 63916
668 48949 49052 5553 99641 27859
669 36546 65862 55928 24207 96722
670 81750 19706 13989 40032 85383
671 18288 28851 52016 2619 63257
672 56165 87742 51279 70672 80291
673 36250 36961 46897 91859 96243
674 32505 64313 80719 48277 24871
675 42934 6177 60266 87063 13454
676 12221 84967 71777 11185 12918
677 96333 67019 44891 75050 70646
678 76436 52747 50479 51747 82778
679 58697 46718 38134 47776 41951
680 42593 59007 15969 30771 77430
681 80556 5291 99849 66154 70968
682 97973 49190 46097 94998 20800
683 44708 45778 72594 39124 28242
684 27405 56092 63970 75299 42382
685 51418 55091 99738 64275 95441
686 55027 83319 45671 84807 38467
687 49302 13863 55138 72261 70121
688 8329 5501 92996 3186 21097
689 98448 91959 50039 6601 61143
690 69505 60630 52934 9183 42305
691 1823 88352 12849 57604 48556
692 31937 12844 68240 26185 69432
693 58407 12686 64231 36180 81714
694 10134 90531 82487 48656 36250
695 69562 85566 64337 95812 79151
696 73654 28680 79042 3470 83976
697 67480 37114 59051 95915 1783
698 79324 54152 43560 23192 39322
699 18562 20028 65067 94476 20408
700 67160 94084 43061 46630 41689
701 36943 66159 94117 43893 24578
702 26889 8607 73281 92802 84687
703 21801 74313 97306 89473 55620
704 99176 41723 18306 79874 31545
705 44519 27876 17700 3220 3920
706 19264 26511 15265 83091 52666
707 47895 74576 79862 68416 48310
708 75670 19859 19644 11482 86025
709 66165 5117 68819 92029 86726
710 51932 16167 82060 72773 91285
711 81011 17659 3648 8475 52547
712 87416 93736 42517 51586 15531
713 32728 83019 79968 64728 62152
714 20163 1737 69401 27615 69103
715 27918 36807 84885 55121 19435
716 2574 86457 28589 12505 82543
717 6706 16450 82941 64150 60722
718 15597 29823 68667 24258 80944
719 56667 11930 54984 94966 7931
720 41991 31121 27861 1181 38132
721 72278 51633 86405 6320 58646
722 21305 93489 46294 82714 28118
723 21275 4520 42757 78317 19116
724 51553 23397 29018 48691 61248
725 1467 59638 39230 85119 99180
726 28530 32570 23508 77108 7678
727 80338 23722 9798 97812 52424
728 90355 61150 6561 30774 63447
729 3905 47984 49507 95633 39803
730 86878 12369 67447 78395 22581
731 79552 2374 35041 78205 79265
732 20606 88805 10338 78085 32498
733 49398 35979 7374 17567 61605
734 78385 3365 78976 7803 22251
735 18586 44152 31975 98826 40586
736 65626 18244 93761 3948 71834
737 85363 18104 89523 29647 46797
738 83504 26819 20576 72402 48400
739 21852 94695 44617 46858 25891
740 35533 29588 29370 46829 15852
741 34163 44893 85824 30401 54532
742 31671 45438 99644 58705 11931
743 58497 66352 75098 93711 85217
744 12726 16422 16087 8882 172
745 59651 71044 92537 92111 49044
746 56601 72727 62200 46621 16154
747 74116 3729 16469 93839 9455
748 42858 65680 55593 53996 59165
749 68367 60896 90377 64934 83312
750 72914 70224 37509 82934 45011
751 21063 16678 24299 30560 37233
752 28636 59645 78994 16092 31615
753 13064 80990 66816 63198 97433
754 98915 68067 57524 57186 18359
755 44948 94444 59397 54337 93207
756 58897 11544 44971 94188 20736
757 75073 33149 99902 90950 23862
758 15476 18938 65841 20155 46466
759 78698 53138 4207 96266 3067
760 75803 8016 20273 15557 49582
761 66864 88388 50772 19234 13924
762 11550 74038 79154 46943 90357
763 32614 96106 7647 56985 56596
764 67638 78214 96395 67056 34090
765 32578 67713 6421 56262 56734
766 10596 41144 12212 24049 29166
767 27944 42741 20364 23919 77962
768 9771 60121 87013 12669 83801
769 94542 85141 27646 88499 56581
770 39962 45882 43511 75321 91465
771 71710 75514 4536 38708 44063
772 56303 42203 52631 6651 63056
773 29966 13197 35397 63675 37594
774 94453 27912 12464 6456 32583
775 61165 22482 42567 7914 13048
776 75490 62706 42185 93781 83487
777 42820 22384 7887 63137 83222
778 57141 85282 90061 76940 80859
779 26793 9559 95780 40311 77494
780 33108 38668 55732 77880 18638
781 76841 19833 28623 78507 861
782 85759 76183 79300 33774 89942
783 58139 34602 88697 40244 93449
784 74849 58907 33285 96898 42055
785 93045 9503 68656 80773 45962
786 85657 76351 69991 26799 57398
787 33307 20430 83484 54596 19655
788 81972 97523 40014 51740 81856
789 84674 72509 53098 48286 59070
790 19249 81119 691 75968 16337
791 53861 59726 77643 92897 4736
792 93464 20711 61242 81159 77366
793 35254 12160 39299 8350 42910
794 19203 28570 88204 14282 47796
795 77879 74561 59054 67503 69221
796 56290 89885 51156 34365 60410
797 55538 60672 94638 28345 27462
798 48082 53208 36934 68347 51300
799 86123 59843 99263 79607 90461
800 45253 78837 63652 45325 33639
801 4891 59679 27224 5832 68569
802 21064 66528 76245 41833 38269
803 19604 33922 54928 49535 64349
804 20062 33553 2277 49079 10209
805 91508 50563 89073 43149 36431
806 4038 60862 79789 28190 11133
807 76311 36345 74600 6781 36979
808 73943 67107 22850 14475 98691
809 43737 97975 66227 52431 12385
810 64332 56250 13851 15059 87056
811 59718 89994 69462 90590 20614
812 73142 20208 7404 23000 18083
813 14701 1036 99117 85333 75964
814 78215 63559 45843 14809 18813
815 40223 70624 98761 28276 82607
816 43559 61735 10612 93036 40797
817 6930 59714 40318 62123 31182
818 97576 67179 2318 64261 66625
819 72522 56504 12278 39727 8275
820 40076 5614 63967 68753 98317
821 3569 14894 90554 17448 9255
822 33819 96910 89193 47906 52374
823 84733 34983 24715 10303 15286
